protein_id,gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,neg_log10_p,color_category
P41227,NAA10,-0.38902811803867365,26.18423125757393,-1.439606471037069,0.21024076245419826,0.4126630329411938,-5.585336398737191,0.38440443422103093,Not Significant
Q9H773,DCTPP1,-0.39163614049329354,27.38655429975478,-1.4395739419930407,0.21024948211298713,0.4126630329411938,-5.585375055484668,0.38440443422103093,Not Significant
Q14141,SEPTIN6,-3.4096106113207405,24.94187167499914,-1.4390452922052506,0.21039123921876954,0.41276841281639715,-5.586003242186565,0.38429354457952686,Not Significant
Q9Y487,ATP6V0A2,2.429028971787357,19.674637237334505,1.4376747337557252,0.21075917931865296,0.4133172692328563,-5.5876314328716985,0.3837164486358993,Not Significant
Q9BRX5,GINS3,-3.0108481736506505,24.148785510323336,-1.434858629775429,0.2115171216621609,0.41447575126226816,-5.590974972597361,0.3825008725951135,Not Significant
P63272,SUPT4H1,2.100544903028222,24.899738095618897,1.4348228233601252,0.2115267755535194,0.41447575126226816,-5.591017468579118,0.3825008725951135,Not Significant
P54105,CLNS1A,-0.3948993291045504,27.235174172802715,-1.4330126017244267,0.21201538452137242,0.4152595517140295,-5.593165337929332,0.381680369210134,Not Significant
Q5T440,IBA57,-0.34371812373262145,25.488312614891413,-1.431394557249589,0.21245303372737742,0.4159429277695146,-5.595084271993816,0.38096625556356256,Not Significant
Q96IX5,ATP5MK,2.4192521549773645,25.613251626511584,1.4309023335451714,0.21258634155299455,0.4160025235144658,-5.595667857684052,0.3809040348898836,Not Significant
Q9BZF3,OSBPL6,2.3635542292813803,19.64189986608152,1.4306268423170265,0.21266098705796033,0.4160025235144658,-5.595994448091403,0.3809040348898836,Not Significant
Q9NPI6,DCP1A,1.9457555029653513,24.63917362741581,1.4300838821540809,0.21280817763242277,0.4161167828799189,-5.596638045131079,0.3807847678284116,Not Significant
P04899,GNAI2,2.6662539422291793,26.141079938678605,1.4292124559356647,0.21304461500754976,0.4164053838783927,-5.597670784921885,0.38048366395121946,Not Significant
P53985,SLC16A1,-0.984960668541401,27.100022984617283,-1.428799791184476,0.21315666758802373,0.41645072988122855,-5.598159752063387,0.3804363724239026,Not Significant
P35749,MYH11,-2.9287447256922725,23.71285238190855,-1.427700590258699,0.2134554125834137,0.4168606328243583,-5.599461921233387,0.38000911651778585,Not Significant
Q9BZJ0,CRNKL1,1.9741662717785289,24.702451945795257,1.4266003796730884,0.2137548318424111,0.4172715105561769,-5.6007648842151685,0.37958126597272784,Not Significant
Q13404,UBE2V1,-3.7617663271951862,25.730153622496942,-1.4256381741278357,0.21401702164868908,0.4176094006941739,-5.601904079311842,0.3792297336081566,Not Significant
P31948,STIP1,-0.8916941597010961,28.52537078018734,-1.4251946418187733,0.21413798224441888,0.4176715450601712,-5.602429091600615,0.3791651111468854,Not Significant
P50990,CCT8,-0.5197365481600897,28.681496593723313,-1.4241587610517983,0.21442074259640584,0.41804909340655333,-5.603655014800605,0.3787727140536629,Not Significant
Q9UHA4,LAMTOR3,-3.132536607823816,24.4386200413731,-1.419507962983743,0.21569464230015692,0.42035791619993157,-5.60915461028665,0.37638076951581845,Not Significant
O75131,CPNE3,2.19352733807764,25.189972993973342,1.4181465701543674,0.21606890265454254,0.4209122804413304,-5.610763085876491,0.3758084031897244,Not Significant
Q96NT0,VMA22,-2.015996216701076,21.444733648497607,-1.4140979796736215,0.21718555440400952,0.42277054323551866,-5.615542751219486,0.37389528001157224,Not Significant
Q15020,SART3,-0.42195274192518184,25.977379223974435,-1.4140341081115178,0.217203214873294,0.42277054323551866,-5.615618111699299,0.37389528001157224,Not Significant
Q96EY4,TMA16,1.792054029032883,24.362802861627994,1.4124554612846816,0.21764014435511275,0.42344514594952826,-5.617480275292075,0.3732028411878055,Not Significant
